crate,config,lto,opt,panic,rule,n_fdes,n_gt_known,n_gt_excluded_unknown_or_conflict,coverage,ambiguous_fraction,predicted_author,predicted_dep,actual_author,actual_workspace,actual_dep,actual_std,tp_author,tp_dep,precision_author,precision_dep,recall_author_excl,recall_author_ambig_err,recall_dep_excl,recall_dep_ambig_err
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,C@0.60,4546,4399,147,0.24879014518257808,0.0,16,1115,166,0,2024,2209,16,714,1.0,0.6403587443946188,0.0963855421686747,0.0963855421686747,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,C@0.70,4546,4399,147,0.24879014518257808,0.0,14,1117,166,0,2024,2209,14,714,1.0,0.639212175470009,0.08433734939759036,0.08433734939759036,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,C@0.80,4546,4399,147,0.24879014518257808,0.0,11,1120,166,0,2024,2209,11,714,1.0,0.6375,0.06626506024096386,0.06626506024096386,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,C@0.90,4546,4399,147,0.24879014518257808,0.0,8,1123,166,0,2024,2209,8,714,1.0,0.6357969723953696,0.04819277108433735,0.04819277108433735,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,A@1,5976,5692,284,0.16164658634538154,0.0,17,949,196,0,2851,2645,16,589,0.9411764705882353,0.6206533192834562,0.08163265306122448,0.08163265306122448,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,A@2,5976,5692,284,0.16164658634538154,0.0018406961178045514,6,949,196,0,2851,2645,6,589,1.0,0.6206533192834562,0.03225806451612903,0.030612244897959183,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,A@3,5976,5692,284,0.16164658634538154,0.002175368139223561,4,949,196,0,2851,2645,4,589,1.0,0.6206533192834562,0.021739130434782608,0.02040816326530612,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,A@4,5976,5692,284,0.16164658634538154,0.0025100401606425703,2,949,196,0,2851,2645,2,589,1.0,0.6206533192834562,0.01098901098901099,0.01020408163265306,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,A@5,5976,5692,284,0.16164658634538154,0.0025100401606425703,2,949,196,0,2851,2645,2,589,1.0,0.6206533192834562,0.01098901098901099,0.01020408163265306,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,A@6,5976,5692,284,0.16164658634538154,0.0025100401606425703,2,949,196,0,2851,2645,2,589,1.0,0.6206533192834562,0.01098901098901099,0.01020408163265306,0.2065941774815854,0.2065941774815854
