crate,config,sha256,fde_source,n_fdes,n_locations,n_strings_emitted,n_relative_relocs,addr_order_strict,gt_present,gt_n_functions,gt_authorship_error,gt_author_crates,gt_mangling,n_rows,n_labeled,n_author,n_dep,n_std,n_workspace
protofetch,lto-thin_opt-3_panic-unwind,3434cf2433dce56785b8c89012e2f06aebcff61393de3e141a86b2c543cbfb0a,eh_frame,4713,904,201,3657,True,True,4713,,['protofetch'],legacy,4713,2512,114,763,1635,0
rink,cgu-16_lto-false_opt-3_panic-unwind,5d9568aa6e553bbe020f2a8376bdb5f9c54a1a40c729fcdc8ba3cdd14cbf660f,eh_frame,5969,1466,245,6328,True,True,5969,,['rink'],v0,5969,5015,63,1653,2856,443
rink,lto-thin_opt-3_panic-unwind,6a86d3fc3fe64082bea9cac4c239111d1085a34b725eb31c62e659184f9f5fcf,eh_frame,4378,1347,246,5205,True,True,4378,,['rink'],v0,4378,3471,60,1225,1842,344
rust-script,cgu-16_lto-false_opt-3_panic-unwind,65b6a340b1ec0f511425a29c3024fe3801460bd2e5036c3c6c096facdbaee125,eh_frame,4133,2004,225,17774,True,True,4133,,['rust_script'],v0,4133,3908,26,1590,2292,0
rust-script,lto-thin_opt-3_panic-unwind,f0b7484ee956642539dacb8f0b3717c709fee12cd93388b568ff6bf10e482053,eh_frame,2900,1798,222,13755,True,True,2900,,['rust_script'],v0,2900,2743,22,1170,1551,0
rustic,cgu-16_lto-false_opt-3_panic-unwind,ea2fa06724a8c128676ef400778394bb988c8f7b24a5ac5d5372aa926a5ba6ab,eh_frame,58192,12588,1407,64839,True,True,58192,,"['rustic', 'rustic_rs']",v0,58192,54258,582,25078,28598,0
rustic,lto-thin_opt-3_panic-unwind,a03a3f776de26f8d38e485bd6cee7fe99f0f3351dccdfc3bdbef9c9c61a25627,eh_frame,37643,10056,1385,51108,True,True,37643,,"['rustic', 'rustic_rs']",v0,37643,34125,500,17556,16069,0
sccache,cgu-16_lto-false_opt-3_panic-unwind,8c351b01efc39f6fa8b2f6d6f320928639eb7f929f46888d1c4f5609c106afdd,eh_frame,37572,8815,1057,50304,True,True,37572,,"['sccache', 'sccache_dist']",v0,37572,34186,1211,15924,17051,0
sccache,lto-thin_opt-3_panic-unwind,b72fcf6438218c26db6c4fe40c957f84dc0d52c5114f855aad20afa1d1dd8e89,eh_frame,24382,7257,1037,39412,True,True,24382,,"['sccache', 'sccache_dist']",v0,24382,21329,975,10819,9535,0
spider_cli,cgu-16_lto-false_opt-3_panic-unwind,b9e1a51ad980a2092720d923e0cee7c60a23eacdc449953fd43cc8ca34c3621f,eh_frame,40728,8490,886,62481,True,True,40728,,"['spider', 'spider_cli']",v0,40728,31999,597,13621,17781,0
spider_cli,lto-thin_opt-3_panic-unwind,b0aa15c06920f99caa7f8a7c45a52f08bc2b256230cca289558fb350be498b3a,eh_frame,24945,6757,864,50813,True,True,24945,,"['spider', 'spider_cli']",v0,24945,17875,394,9274,8207,0
taskwarrior-tui,cgu-16_lto-false_opt-3_panic-unwind,33aaa110b7df5b23e076f0cfa801adf73237a8aa32fed69b16c2978bad70930a,eh_frame,6301,2637,364,15737,True,True,6301,,['taskwarrior_tui'],legacy,6301,5801,156,2342,3303,0
taskwarrior-tui,lto-thin_opt-3_panic-unwind,6a86e9b469eed79cfc8207875743740131027594a8208b97c0582bb3930a97fb,eh_frame,4356,2260,360,11095,True,True,4356,,['taskwarrior_tui'],legacy,4356,3955,114,1678,2163,0
television,cgu-16_lto-false_opt-3_panic-unwind,ddc6a6fc41a00d9a8c2e48efccf9f326ac23350f56a723c2ccc8ebcf3e616742,eh_frame,15290,3893,651,23894,True,True,15290,,"['television', 'tv']",legacy,15290,13873,404,5988,7481,0
television,lto-thin_opt-3_panic-unwind,71f88a80cd4718085f36e79497862b4aad1a36581195616a067b6a5dc78d8508,eh_frame,10146,3548,637,18151,True,True,10146,,"['television', 'tv']",legacy,10146,8961,314,4238,4409,0
tokio-console,cgu-16_lto-false_opt-3_panic-unwind,d6992bfa51c4a032fd4351aac5fb994de6ac342bc1c0c1d085a927fe2f23faef,eh_frame,10513,4200,574,23391,True,True,10513,,['tokio_console'],legacy,10513,9596,176,4213,5165,42
tokio-console,lto-thin_opt-3_panic-unwind,57e9740997388b1e2443903f4bb0249fc3ebf73e6951e0a329fea7c16d7590e1,eh_frame,6935,3795,555,17986,True,True,6935,,['tokio_console'],legacy,6935,6209,103,2755,3336,15
tree-sitter-cli,cgu-16_lto-false_opt-3_panic-unwind,33f074da90e290f0ce0a2029761fe21e2b9519412dfafea8fe6ccbe769b4d9fd,eh_frame,12228,3398,373,22154,True,True,12228,,"['tree_sitter', 'tree_sitter_cli']",v0,12228,10307,343,3531,5802,631
tree-sitter-cli,lto-thin_opt-3_panic-unwind,d219d18e83983342efc31337499d7f13a9a97f5dcc927c5dd099ee9cd064e940,eh_frame,8693,2993,372,16963,True,True,8693,,"['tree_sitter', 'tree_sitter_cli']",v0,8693,6887,252,2599,3487,549
trunk,cgu-16_lto-false_opt-3_panic-unwind,83dcaaf2cf16aee6e5c29b59b14c0effa918cb18ee0fc5c0b16eac2a9361acac,eh_frame,56230,9538,1381,80313,True,True,56230,,['trunk'],v0,56230,52768,744,28003,24021,0
trunk,lto-thin_opt-3_panic-unwind,9ab4ee3eb450cf44a582bf7ca8061d963fc932b11070673288956d04fd4080e6,eh_frame,34333,8096,1338,67326,True,True,34333,,['trunk'],v0,34333,31259,414,19309,11536,0
tuc,cgu-16_lto-false_opt-3_panic-unwind,9274dceee1052addcc589a22d8ee4b33fce226f403965fc4a635e0ceb8149077,eh_frame,2834,1301,162,11974,True,True,2834,,['tuc'],v0,2834,2660,72,993,1595,0
tuc,lto-thin_opt-3_panic-unwind,4f41cda170685badcef896b34b2518f7fbd1578581325d4d375a6a8a5b714009,eh_frame,2166,1161,160,8460,True,True,2166,,['tuc'],v0,2166,2056,62,827,1167,0
wiki-tui,cgu-16_lto-false_opt-3_panic-unwind,c2fcc0d427bc37e693f1b7b14a9ffc671967be46b97d5fdd783e8a8b79699d67,eh_frame,12358,5734,653,40439,True,True,12358,,['wiki_tui'],legacy,12358,11472,140,4911,6319,102
wiki-tui,lto-thin_opt-3_panic-unwind,c592749882216b385d4a6d1423b49641327194dcaefc01fcdb52cc7126bd14cc,eh_frame,7805,4893,615,37219,True,True,7805,,['wiki_tui'],legacy,7805,7107,118,3068,3870,51
yazi-fm,cgu-16_lto-false_opt-3_panic-unwind,ade739f947e129ec2514c860129f5dd84ed409c252eb12bd3a95a2fac59e476d,eh_frame,61744,12211,1330,58032,True,True,61744,,"['yazi', 'yazi_fm']",v0,61744,58207,52,24887,27926,5342
yazi-fm,lto-thin_opt-3_panic-unwind,b6a59d117ae247a950613618c7291df525ecb76722da1f3aed92d62b5cd5f84b,eh_frame,35300,9378,1317,44041,True,True,35300,,"['yazi', 'yazi_fm']",v0,35300,32150,30,15404,13178,3538
